code,term
J615H,Infectious cirrhosis NOS
J615y,Portal cirrhosis unspecified
J615z,(Liver cirrhos: [named vars] or [NOS]) or (hepat fibrosis)
J616.,Biliary cirrhosis
J6160,Primary biliary cirrhosis
J6161,Secondary biliary cirrhosis
J6162,Biliary cirrhosis of children
J616z,Biliary cirrhosis NOS
J617.,Alcoholic hepatitis
J61y.,Other non-alcoholic chronic liver disease
J61y0,Chronic yellow atrophy
J61y3,Portal fibrosis without cirrhosis
J61yz,Other non-alcoholic chronic liver disease NOS
J61z.,Chronic liver disease NOS
J62..,Liver abscess and sequelae of chronic liver disease
J623.,Portal hypertension
J624.,Hepatorenal syndrome
J62z.,Liver abscess and chronic liver disease causing sequelae NOS
J630.,Chronic passive congestion of liver
J6353,Toxic liver disease with chronic persistent hepatitis
J6354,Toxic liver disease with chronic lobular hepatitis
J6355,Toxic liver disease with chronic active hepatitis
J6356,Toxic liver disease with fibrosis and cirrhosis of liver
J63A.,Hepatic granulomas in sarcoidosis
J6617,Primary sclerosing cholangitis
Jyu40,[X]Other Crohn's disease
Jyu41,[X]Other ulcerative colitis
Jyu71,[X]Other and unspecified cirrhosis of liver
N0310,Arthropathy in ulcerative colitis
N0311,Arthropathy in Crohn's disease
N0453,Juvenile arthritis in Crohn's disease
N0454,Juvenile arthritis in ulcerative colitis
PB61.,Atresia of bile ducts
PB610,Congenital absence of bile duct
PB611,Congenital hypoplasia of bile duct
PB614,Atresia of bile duct (& [intrahepatic] or [extrahepatic]
PB615,Congenital absence of hepatic ducts
PB616,Atresia of hepatic ducts
PB61z,Biliary atresia NOS
PB635,Alagille syndrome
SP086,Liver transplant failure and rejection
SP142,Hepatic failure as a complication of care
SP143,Hepatorenal syndrome as a complication of care
X2063,Oesophageal varices
X20Pq,Orofacial Crohn's disease of gingivae
X20Uu,Balln tamponade oesophagus using Sengstaken-Blakemore tube
X20Uv,Balloon tamponade of oesophagus using Minnesota tube
X20Zz,Exploration of liver transplant
X300J,Crohn's disease of oesophagus
X301b,Crohn's disease of stomach
X302r,Crohn's jejunitis
X302t,Crohn's ileitis
X3030,Ulcerative enterocolitis
X303k,Indeterminate colitis
X3050,Perianal Crohn's disease
X306h,Chronic viral hepatitis
X306i,Chronic viral hepatitis B
X306j,Chronic viral hepatitis B with hepatitis D
X306k,Chronic viral hepatitis C
X306l,Chronic non-A non-B hepatitis
X306r,Alcoholic hepatitis
X3071,Alcoholic liver disease
X3072,Alcoholic fibrosis and sclerosis of liver
X3073,Alcoholic hepatic failure
X3076,Hepatic failure
X3077,Liver failure NOS
X3078,Hepatic failure NOS
X3079,Fulminant hepatic failure
X307A,Subfulminant hepatic failure
X307C,Chronic hepatic failure
X307G,Chronic lobular hepatitis
X307I,Drug-induced chronic hepatitis
X307L,Cirrhosis of liver
X307M,Cirrhosis of liver NOS
X307N,Florid cirrhosis
X307O,Cryptogenic cirrhosis
X307P,Indian childhood cirrhosis
X307Q,Micronodular cirrhosis
X307R,Portal cirrhosis
X307S,"Laennec's cirrhosis, non-alcoholic"
X307T,Infectious cirrhosis
X307U,Hypoxia-associated cirrhosis
X307V,Toxic cirrhosis
X307W,Fibrosis of liver
X307X,Congenital hepatic fibrosis
X307Y,Pericellular fibrosis of congenital syphilis
X307Z,Hepatic sclerosis
X307a,Portal and splenic vein sclerosis
X307b,Hepatic fibrosis with hepatic sclerosis
X307c,Intrahepatic phlebosclerosis and fibrosis
X307x,Liver transplant disorder
X307y,Liver transplant rejection
X307z,Liver transplant failure
X3085,Ichthyosis congenita with biliary atresia
X7847,Intrahepatic biliary atresia
X7848,Extrahepatic biliary atresia
XE0CP,Other specified open operation on oesophageal varices
XE0ae,Inflammatory bowel disease
XE0af,Crohn's disease of the large bowel NOS
XE0ag,Ulcerative colitis
XE0aj,Other non-infective inflammatory gastroenteritis and colitis
XE0b4,Alcoholic cirrhosis of liver
XE0b5,Cirrhosis - non-alcoholic
XE0b6,Multilobular portal cirrhosis
XE0b7,Cardiac portal cirrhosis
XE0b8,Juvenile portal cirrhosis
XE0bA,Non-alcoholic cirrhosis NOS
XE0bC,Other sequelae of chronic liver disease
XE0cX,Inflammatory bowel disease (& [noninfect enteritis/colitis])
XE0cZ,Crohn's disease (& [regional enteritis])
XE0dD,(Cirrhos &/or chron liver dis) or (alcoholic liver disease)
XE0dF,Alcoholic liver damage NOS
XE0dH,Chronic hepatitis (& [NOS]/[active B]/[active]/[persistent])
XE0dJ,Biliary cirrhosis (& [primary])
XE2QL,Crohn's disease
XE2up,Cirrhosis secondary to cholestasis
Xa0lh,Regional enteritis
Xa3fm,"Non-infective gastrointestinal inflammation, NOS"
Xa7nY,Non-infective colitis
Xa9C7,Cardiac cirrhosis
XaB5x,Non-infective enteritis and colitis
XaB5z,Enterocolitis
XaBE3,Chronic alcoholic hepatitis
XaBM6,Oesophageal varices in cirrhosis of the liver
XaC1d,Oesophageal varices in alcoholic cirrhosis of the liver
XaE6u,Oesophageal varices NOS
XaJTk,Autoimmune hepatitis
XaJxp,Acute hepatic failure due to drugs
XaK6C,Exacerbation of Crohn's disease of small intestine
XaK6D,Exacerbation of Crohn's disease of large intestine
XaK6E,Exacerbation of ulcerative colitis
XaK6F,Exacerbation of non-infective colitis
XaLdJ,Fibreopt endoscop rubber band ligation of upper GIT varices
XaLde,Transplantation of liver cells
XaLdf,Orthotopic transplantation of whole liver
XaMMe,Orthotopic transplantation of liver NEC
XaMuG,Compensation for liver failure
XaMuH,Other specified compensation for liver failure
XaMuI,Compensation for liver failure NOS
XaPLW,Chronic hepatitis annual review
XaREa,Liver disease due to cystic fibrosis
XaXi9,Cystic fibrosis related cirrhosis
XaYbp,Viral hepatitis with hepatic coma
XaYzX,Ulcerative pancolitis
XaZ2j,Left sided ulcerative colitis
ZV427,[V]Liver transplanted
ZV7C0,[V]Assessment for liver transplant
