code,term
79200,Saphenous vein graft replacement of one coronary artery
79201,Saphenous vein graft replacement of two coronary arteries
79202,Saphenous vein graft replacement of three coronary arteries
79203,Saphenous vein graft replacement of four+ coronary arteries
7920y,Saphenous vein graft replacement of coronary artery OS
7920z,Saphenous vein graft replacement coronary artery NOS
7921.,Other autograft replacement of coronary artery
79210,Autograft replacement of one coronary artery NEC
79211,Autograft replacement of two coronary arteries NEC
79212,Autograft replacement of three coronary arteries NEC
79213,Autograft replacement of four of more coronary arteries NEC
7921y,Other autograft replacement of coronary artery OS
7921z,Other autograft replacement of coronary artery NOS
7922.,Allograft bypass of coronary artery
79220,Allograft replacement of one coronary artery
79221,Allograft replacement of two coronary arteries
79222,Allograft replacement of three coronary arteries
79223,Allograft replacement of four or more coronary arteries
7922y,Other specified allograft replacement of coronary artery
7922z,Allograft replacement of coronary artery NOS
7923.,Prosthetic bypass of coronary artery
79230,Prosthetic replacement of one coronary artery
79231,Prosthetic replacement of two coronary arteries
79232,Prosthetic replacement of three coronary arteries
79233,Prosthetic replacement of four or more coronary arteries
7923y,Other specified prosthetic replacement of coronary artery
7923z,Prosthetic replacement of coronary artery NOS
7924.,Revision of bypass for coronary artery
79240,Revision of bypass for one coronary artery
79241,Revision of bypass for two coronary arteries
79242,Revision of bypass for three coronary arteries
79243,Revision of bypass for four or more coronary arteries
79244,Revision of connection of thoracic artery to coronary artery
79245,Revision of implantation of thoracic artery into heart
7924y,Other specified revision of bypass for coronary artery
7924z,Revision of bypass for coronary artery NOS
7925.,Connection of mammary artery to coronary artery
79250,Mamm to coron art anast: [double] or [LIMA seq]/[RIMA seq]
79251,Double implant of mammary arteries into coronary arteries
79252,Single anast mammary art to left ant descend coronary art
79253,Single mammary-coronary art anast: [NEC] or [LIMA] or [RIMA]
79254,Single implantation of mammary artery into coronary artery
7925y,Connection of mammary artery to coronary artery OS
7925z,Connection of mammary artery to coronary artery NOS
7926.,Connection of other thoracic artery to coronary artery
79260,Double anastom thoracic arteries to coronary arteries NEC
79261,Double implant thoracic arteries into coronary arteries NEC
79262,Single anastomosis of thoracic artery to coronary artery NEC
79263,Single implantation thoracic artery into coronary artery NEC
7926y,Connection of other thoracic artery to coronary artery OS
7926z,Connection of other thoracic artery to coronary artery NOS
7927.,Other open operations on coronary artery
79270,Repair of arteriovenous fistula of coronary artery
79271,Repair of coronary artery aneurysm
79272,Transection of coronary artery muscle bridge
79273,Transposition of coronary artery NEC
79275,Open angioplasty of coronary artery
7927y,Other specified other open operation on coronary artery
7927z,Other open operation on coronary artery NOS
7928.,Percutaneous balloon angioplasty of coronary artery
79280,Percut transluminal balloon angioplasty one coronary artery
79281,Percut translum balloon angioplasty mult coronary arteries
79282,Percut translum balloon angioplasty bypass graft coronary a
7928y,Transluminal balloon angioplasty of coronary artery OS
7928z,Transluminal balloon angioplasty of coronary artery NOS
7929.,Other therapeutic transluminal operations on coronary artery
79290,Percutaneous transluminal laser coronary angioplasty
79291,Percut transluminal coronary thrombolysis with streptokinase
79292,Percut translum inject therap subst to coronary artery NEC
79293,Percutaneous rotational coronary endarterectomy
7929y,Other therapeutic transluminal op on coronary artery OS
7929z,Other therapeutic transluminal op on coronary artery NOS
792A.,Diagnostic transluminal operations on coronary artery
792A0,Percutaneous transluminal angioscopy
792Ay,Diagnostic transluminal operation on coronary artery OS
792Az,Diagnostic transluminal operation on coronary artery NOS
792B.,Repair of coronary artery NEC
792B0,Endarterectomy of coronary artery NEC
792By,Other specified repair of coronary artery
792Bz,Repair of coronary artery NOS
792C.,Other replacement of coronary artery
792C0,Replacement of coronary arteries using multiple methods
792Cy,Other specified replacement of coronary artery
792Cz,Replacement of coronary artery NOS
792D.,Other bypass of coronary artery
792Dy,Other specified other bypass of coronary artery
792Dz,Other bypass of coronary artery NOS
792y.,Other specified operations on coronary artery
792z.,Coronary artery operations NOS
79332,Transluminal maintenance of heart assist system
7A100,Emerg aortic bypass by anastomosis axillary to femoral art
7A101,Bypass aorta by anastomosis axillary to femoral artery NEC
7A103,Axillo-unifemoral PTFE bypass graft
7A11.,Repair of aortic aneurysm using bifurcation graft
7A110,Emerg repl aneurysm bifurc aorta by anast aorta to fem art
7A111,Replace aneurysm bifurc aorta by anast aorta to femoral art
7A112,Emergency Y graft abdominal Aortic aneurysm (& aortoiliac)
7A113,Y graft abdominal Aortic aneurysm (& aortoiliac)
7A11y,Replacement of aneurysmal bifurcation of aorta OS
7A11z,Replacement of aneurysmal bifurcation of aorta NOS
7A12.,Other bypass of bifurcation of aorta
7A120,Emerg bypass bifurc aorta by anast aorta to femoral artery
7A121,Aortobifemoral bypass (& [NEC] or [dacron Y])
7A122,Emerg bypass bifurc aorta by anastom aorta to iliac artery
7A123,Aorto bi-iliac graft (& Dacron)
7A12y,Other specified other bypass of bifurcation of aorta
7A12z,Other bypass of bifurcation of aorta NOS
7A41.,Other bypass iliac artery (& by anastomosis)
7A410,Emerg bypass iliac art by iliac/femoral art anastomosis NEC
7A411,Bypass iliac artery by iliac/femoral artery anastomosis NEC
7A414,Emerg bypass comm iliac art by aorta/com iliac art anast NEC
7A415,Emerg bypass iliac artery by aorta/ext iliac art anast NEC
7A416,Emerg bypass leg artery by aorta/com fem art anastomosis NEC
7A418,Emerg bypass iliac artery by iliac/iliac art anastomosis NEC
7A419,Bypass common iliac artery by aorta/com iliac art anast NEC
7A41A,Bypass iliac artery by aorta/ext iliac art anastomosis NEC
7A41B,Bypass leg artery by aorta/com femoral art anastomosis NEC
7A41C,Bypass leg artery by aorta/deep femoral art anastomosis NEC
7A41D,Bypass iliac artery by iliac/iliac artery anastomosis NEC
7A41E,Emergency bypass of iliac artery by unspecified anastomosis
7A41F,Iliofemoral prosthetic crossover graft
7A41y,Other specified other bypass of iliac artery
7A41z,Other bypass of iliac artery NOS
7A42.,Reconstruction of iliac artery (& common)
7A420,Iliac endarterectomy and patch repair (& common iliac)
7A42y,Other specified reconstruction of iliac artery
7A42z,Reconstruction of iliac artery NOS
7A43.,Other open operations on iliac artery (& common)
7A430,Repair of iliac artery NEC (& common)
7A432,Operation on aneurysm of iliac artery NEC
7A43y,Other specified other open operation on iliac artery
7A43z,Other open operation on iliac artery NOS
7A440,Percutaneous transluminal angioplasty of iliac artery
7A443,Insertion of iliac artery stent
7A44y,Other specified transluminal operation on iliac artery
7A44z,Transluminal operation on iliac artery NOS
7A47.,Oth em bypass art: [fem (& brs)]/[pop]/[fem/pop anastomosis]
7A470,Emerg bypass femoral art by fem/pop art anast c prosth NEC
7A471,Emerg bypass popliteal art by pop/pop art anast c prosth NEC
7A472,Emerg bypass femoral art by fem/pop a anast c vein graft NEC
7A473,Emerg bypass pop art by pop/pop art anast c vein graft NEC
7A474,Emerg bypass femoral art by fem/tib art anast c prosth NEC
7A476,Emerg bypass femoral art by fem/tib a anast c vein graft NEC
7A477,Emerg bypass pop art by pop/tib art anast c vein graft NEC
7A47B,Emerg bypass pop art by pop/peron art anast c vein graft NEC
7A47C,Emerg bypass femoral artery by fem/fem art anastomosis NEC
7A47D,Emerg bypass popliteal artery by pop/fem art anastomosis NEC
7A47y,Other emergency bypass of femoral or popliteal artery OS
7A47z,Other emergency bypass of femoral or popliteal artery NOS
7A48.,Oth bypass art: [fem (& brs)]/[pop]/[fem/pop by anastomosis]
7A480,Bypass femoral artery by fem/pop art anast c prosthesis NEC
7A481,Bypass popliteal artery by pop/pop a anast c prosthesis NEC
7A482,Bypass femoral artery by fem/pop art anast c vein graft NEC
7A483,Bypass popliteal artery by pop/pop a anast c vein graft NEC
7A484,Bypass femoral artery by fem/tib art anast c prosthesis NEC
7A485,Bypass popliteal artery by pop/tib a anast c prosthesis NEC
7A486,Bypass femoral artery by fem/tib art anast c vein graft NEC
7A487,Bypass popliteal artery by pop/tib a anast c vein graft NEC
7A488,Bypass femoral artery by fem/peron a anast c prosthesis NEC
7A48A,Bypass femoral artery by fem/peron a anast c vein graft NEC
7A48B,Bypass popliteal art by pop/peron art anast c vein graft NEC
7A48C,Bypass femoral artery by femoral/femoral art anastomosis NEC
7A48D,Bypass popliteal artery by pop/fem artery anastomosis NEC
7A48E,Femorofemoral prosthetic crossover graft
7A48y,Other bypass of femoral artery or popliteal artery OS
7A48z,Other bypass of femoral artery or popliteal artery NOS
7A49.,Reconstruction artery: [femoral (& branches)] or [popliteal]
7A490,Endarterectomy and patch repair of femoral artery
7A491,Endarterectomy and patch repair of popliteal artery
7A492,Endarterectomy of femoral artery NEC
7A493,Endarterectomy of popliteal artery NEC
7A494,Profundoplasty femoral artery & patch repair deep fem artery
7A495,Profundoplasty and patch repair of popliteal artery
7A496,Profundoplasty of femoral artery NEC
7A497,Profundoplasty of popliteal artery NEC
7A498,Reconstruction of femoral artery with vein graft
7A499,Reconstruction of popliteal artery with vein graft
7A49y,Reconstruction of femoral or popliteal artery OS
7A49z,Reconstruction of femoral or popliteal artery NOS
7A4A.,Oth open art operatn: [femoral (& branches)] or [popliteal]
7A4A0,Repair of femoral artery NEC
7A4A1,Repair of popliteal artery NEC
7A4A5,Operation on aneurysm of femoral artery NEC
7A4A6,Operation on popliteal artery NEC
7A4A7,Repair of femoral artery with temporary silastic shunt
7A4A8,Repair of popliteal artery with temporary silastic shunt
7A4Ay,Other open operation on femoral or popliteal artery OS
7A4Az,Other open operation on femoral or popliteal artery NOS
7A4B0,Percutaneous transluminal angioplasty of femoral artery
7A4B1,Percutaneous angioplasty of popliteal artery
7A4B4,Percutaneous transluminal embolisation of femoral artery
7A4B5,Percutaneous transluminal embolisation of popliteal artery
7A501,Revision of reconstruction involving iliac artery
7A502,Revision of reconstruction involving femoral artery
7A503,Revision of reconstruction of popliteal artery
8HT5.,Referral to hypertension clinic
9N03.,Seen in hypertension clinic
9N1y2,Seen in hypertension clinic
9OI..,Hypertension admin: [monitoring] or [clinic]
9OI1.,Attends hypertension monitoring
9OI3.,Hypertension monitoring offer default
9OI4.,Hypertension monitoring first letter
9OI5.,Hypertension monitoring second letter
9OI6.,Hypertension monitoring third letter
9OI7.,Hypertension monitoring verbal invite
9OI8.,Hypertension monitoring telephone invite
9OIA.,Hypertension monitor (& check done)
9OIZ.,Hypertens.monitoring admin.NOS
A3A0F,Gas gangrene-foot
A94y6,Rupture of syphilitic cerebral aneurysm
C1070,"Diabetes mellitus, juvenile +peripheral circulatory disorder"
C1071,"Diabetes mellitus, adult, + peripheral circulatory disorder"
C1072,"Diabetes mellitus, adult with gangrene"
C1073,IDDM with peripheral circulatory disorder
C1074,NIDDM with peripheral circulatory disorder
C107y,Other specified diabetes mellitus with periph circ comps
C107z,Diabetes mellitus NOS with peripheral circulatory disorder
C3733,Familial amyloid cardiomyopathy
D4102,Polycythaemia due to cyanotic heart disease
F4211,Hypertensive retinopathy
F4K7.,Retrobulbar haemorrhage
Fyu56,[X]Other lacunar syndromes
Fyu57,[X]Other vascular syndroms/brain in cerebrovasculr diseases
G1...,Chronic rheumatic heart disease
G10..,Chronic rheumatic pericarditis
G100.,Adherent rheumatic pericardium
G101.,Chronic rheumatic mediastinopericarditis
G102.,Chronic rheumatic myopericarditis
G10z.,Chronic rheumatic pericarditis NOS
G14..,Other chronic rheumatic endocardial disease
G1y..,Other specified chronic rheumatic heart disease
G1yz.,Other and unspecified rheumatic heart disease
G1yz0,Rheumatic heart disease unspecified
G1yz1,Rheumatic left ventricular failure
G1yzz,Other rheumatic heart disease NOS
G1z..,Chronic rheumatic heart disease NOS
G2...,Hypertensive disease
G20..,High blood pressure (& [essential hypertension])
G200.,Malignant essential hypertension
G201.,Benign essential hypertension
G202.,Systolic hypertension
G20z.,Hypertension NOS (& [essential])
G21..,Hypertensive heart disease
G210.,Malignant hypertensive heart disease
G2100,Malignant hypertensive heart disease without CCF
G2101,Malignant hypertensive heart disease with CCF
G210z,Malignant hypertensive heart disease NOS
G211.,Benign hypertensive heart disease
G2110,Benign hypertensive heart disease without CCF
G2111,Benign hypertensive heart disease with CCF
G211z,Benign hypertensive heart disease NOS
G21z.,Hypertensive heart disease NOS
G21z0,"Hypertensiv:[cardiomeg][heart dis NOS, no congest card fail]"
G21z1,Hypertensive heart disease NOS with CCF
G22..,Hypertensive renal disease (& [nephrosclerosis])
G220.,Malignant hypertensive renal disease
G221.,Benign hypertensive renal disease
G222.,Hypertensive renal disease with renal failure
G22z.,(Renal hypertension) or (hypertensive renal disease NOS)
G23..,Hypertensive heart and renal disease
G230.,Malignant hypertensive heart and renal disease
G231.,Benign hypertensive heart and renal disease
G232.,Hypertensive heart&renal dis wth (congestive) heart failure
G233.,Hypertensive heart and renal disease with renal failure
G234.,Hyperten heart&renal dis+both(congestv)heart and renal fail
G23z.,Hypertensive heart and renal disease NOS
G24..,Secondary hypertension
G240.,Malignant secondary hypertension
G2400,Secondary malignant renovascular hypertension
G240z,Secondary malignant hypertension NOS
G241.,Secondary benign hypertension
G2410,Secondary benign renovascular hypertension
G241z,Secondary benign hypertension NOS
G244.,Hypertension secondary to endocrine disorders
G24z.,Secondary hypertension NOS
G24z0,Secondary renovascular hypertension NOS
G24zz,Secondary hypertension NOS
G2y..,Other specified hypertensive disease
G2z..,Hypertensive disease NOS
G3...,Ischaemic heart disease (& [arteriosclerotic])
G30..,(Myocard inf (& [ac][silent][card rupt])) or (coron thromb)
G300.,Acute anterolateral myocardial infarction
G301.,Other specified anterior myocardial infarction
G3010,Acute anteroapical infarction
G3011,Acute anteroseptal myocardial infarction
G301z,Anterior myocardial infarction NOS
G302.,Acute inferolateral myocardial infarction
G303.,Acute inferoposterior infarction
G304.,Posterior myocardial infarction NOS
G305.,Lateral myocardial infarction NOS
G306.,True posterior myocardial infarction
G307.,Acute subendocardial infarction
G308.,Inferior myocardial infarction NOS
G30y.,Other acute myocardial infarction
G30y0,Acute atrial infarction
G30y1,Acute papillary muscle infarction
G30y2,Acute septal infarction
G30yz,Other acute myocardial infarction NOS
G30z.,Acute myocardial infarction NOS
G31..,Other acute and subacute ischaemic heart disease
G310.,Post-myocardial infarction syndrome
G311.,(Angina:[cresc][unstabl][at rest])(preinfar syn)(imp infarc)
G3110,Aborted myocardial infarction
G311z,Preinfarction syndrome NOS
G312.,Coronary thrombosis not resulting in myocardial infarction
G31y1,Microinfarction of heart
G31y2,Subendocardial ischaemia
G31yz,Other acute and subacute ischaemic heart disease NOS
G33..,Angina
G330.,Angina decubitus
G3300,Nocturnal angina
G330z,Angina decubitus NOS
G331.,Prinzmetal's angina
G33z.,Angina pectoris NOS
G33z0,Status anginosus
G33z1,Stenocardia
G33z2,Syncope anginosa
G33z3,Exercise-induced angina
G33zz,Angina pectoris NOS
G34..,Other chronic ischaemic heart disease
G340.,Coronary (atheroscl or artery dis) or triple vess dis heart
G3400,Single coronary vessel disease
G3401,Double coronary vessel disease
G341.,Aneurysm of heart
G3410,Ventricular cardiac aneurysm
G3411,Mural cardiac aneurysm (& [other])
G3412,Coronary artery aneurysm
G3413,Acquired atrioventricular fistula of heart
G341z,Aneurysm of heart NOS
G34y.,Other specified chronic ischaemic heart disease
G34y0,Chronic myocardial ischaemia
G34y1,Chronic myocardial ischaemia
G34yz,Other specified chronic ischaemic heart disease NOS
G34z.,Other chronic ischaemic heart disease NOS
G35..,Subsequent myocardial infarction
G350.,Subsequent myocardial infarction of anterior wall
G351.,Subsequent myocardial infarction of inferior wall
G353.,Subsequent myocardial infarction of other sites
G36..,Certain current complication follow acute myocardial infarct
G360.,Haemopericardium/current comp folow acut myocard infarct
G361.,Atrial septal defect/curr comp folow acut myocardal infarct
G363.,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
G364.,Ruptur chordae tendinae/curr comp fol acute myocard infarct
G365.,Rupture papillary muscle/curr comp fol acute myocard infarct
G366.,"Thrombosis atrium,auric append&vent/curr comp foll acute MI"
G3y..,Other specified ischaemic heart disease
G3z..,Ischaemic heart disease NOS
G400.,Acute cor pulmonale
G41..,Chronic pulmonary heart disease
G41y.,Other chronic pulmonary heart disease
G41yz,Other chronic pulmonary heart disease NOS
G41z.,Chronic cor pulmonale (& [NOS])
G5102,Chronic bacterial endocarditis
G54z2,Chronic cardiac valvulitis NOS
G55..,Cardiomyopathy
G550.,Restrictive cardiomyopathy with endomyocardial fibrosis
G551.,Hypertrophic obstructive cardiomyopathy
G552.,(Becker's disease) or (obscure African cardiomyopathy)
G554.,Other primary cardiomyopathies
G5540,(Congestive obstructive) or (congestive cardiomyopathy)
G5541,Restrictive cardiomyopathy
G5542,Familial cardiomyopathy
G5543,Hypertrophic cardiomyopathy without obstruction
G5544,Primary dilated cardiomyopathy
G554z,Other primary cardiomyopathy NOS
G555.,Alcohol-induced heart muscle disease
G557.,Nutritional and metabolic cardiomyopathies
G5572,Cardiac glycogenosis
G5574,Mucopolysaccharidosis cardiomyopathy
G557z,(Heart:[fat infil][fat degen]) or (nutr/met cardmyopath NOS)
G558.,Cardiomyopathy in disease EC
G5580,Cardiomyopathy in Friedreich's ataxia
G5581,Cardiomyopathy in myotonic dystrophy
G5582,Dystrophic cardiomyopathy
G558z,"Cardiomyopathy in diseases EC, NOS"
G55y.,Secondary cardiomyopathy: [dilated] or [NOS]
G55y0,Cardiomyopathy due to drugs and other external agents
G55z.,Cardiomyopathy NOS
G573.,Atrial fibrillation and flutter
G5730,Atrial fibrillation
G5731,Atrial flutter
G573z,Atrial fibrillation and flutter NOS
G58..,Heart failure
G580.,Heart failure: [right] or [congestive]
G5800,Acute congestive heart failure
G5801,Chronic congestive heart failure
G5802,Decompensated cardiac failure
G5803,Compensated cardiac failure
G581.,(L ventric:[fail][imp func]) or (card asth) or (ac pulm oed)
G5810,Acute left ventricular failure
G582.,Acute heart failure
G58z.,Heart: [weak] or [failure NOS]
G5y1.,Myocardial degeneration
G5y2.,Cardiovascular arteriosclerosis unspecified
G5y4.,Post cardiac operation functional disturbance
G5y40,Postcardiotomy syndrome
G5y4z,Post cardiac operation heart failure NOS
G5yy6,Atrial thrombosis
G6...,Cerebrovascular disease
G600.,Ruptured berry aneurysm
G601.,Subarachnoid haemorrhage from carotid siphon and bifurcation
G606.,Subarachnoid haemorrhage from vertebral artery
G60z.,Subarachnoid haemorrhage NOS
G61..,Intracerebral haemorrhage (& [cerebrovasc accident due to])
G610.,Cortical haemorrhage
G611.,Internal capsule haemorrhage
G612.,Basal ganglia haemorrhage
G613.,Cerebellar haemorrhage
G614.,Pontine haemorrhage
G615.,Bulbar haemorrhage
G616.,External capsule haemorrhage
G617.,"Intracerebral haemorrhage, intraventricular"
G618.,"Intracerebral haemorrhage, multiple localised"
G61z.,Intracerebral haemorrhage NOS
G62..,Other and unspecified intracranial haemorrhage
G62z.,Intracranial haemorrhage NOS
G63..,Precerebral: [arterial occlusion][arterial stenos][infarct]
G630.,Basilar artery occlusion
G632.,Vertebral artery occlusion
G633.,Multiple and bilateral precerebral arterial occlusion
G63y.,Other precerebral artery occlusion
G63y0,Cerebral infarct due to thrombosis of precerebral arteries
G63y1,Cerebral infarction due to embolism of precerebral arteries
G63z.,Precerebral artery occlusion NOS
G64..,Cereb art occl (& [cerebvasc acc][stroke]) or (cereb infarc)
G640.,Cerebral thrombosis
G6400,Cerebral infarction due to thrombosis of cerebral arteries
G641.,Cerebral embolus
G6410,Cerebral infarction due to embolism of cerebral arteries
G64z.,Infarct (& [cerebell] or [cerebral NOS] or [brainstem NOS])
G64z1,Wallenberg syndrome
G650.,Basilar artery syndrome
G651.,Vertebral artery syndrome
G6510,Vertebrobasilar artery syndrome
G653.,Carotid artery syndrome hemispheric
G654.,Multiple and bilateral precerebral artery syndromes
G66..,CVA - cerebrovascular accident (& unspecified [& stroke])
G660.,Middle cerebral artery syndrome
G661.,Anterior cerebral artery syndrome
G662.,Posterior cerebral artery syndrome
G663.,Brainstem stroke syndrome
G664.,Cerebellar stroke syndrome
G667.,Left sided cerebral hemisphere cerebrovascular accident
G668.,Right sided cerebral hemisphere cerebrovascular accident
G672.,Hypertensive: [encephalopathy] or [crisis]
G6760,"Cereb infarct due cerebral venous thrombosis, non-pyogenic"
G677.,Occlusion/stenosis cerebral arts not result cerebral infarct
G6770,Occlusion and stenosis of middle cerebral artery
G6771,Occlusion and stenosis of anterior cerebral artery
G6772,Occlusion and stenosis of posterior cerebral artery
G6773,Occlusion and stenosis of cerebellar arteries
G6774,Occlusion+stenosis of multiple and bilat cerebral arteries
G680.,Sequelae of subarachnoid haemorrhage
G681.,Sequelae of intracerebral haemorrhage
G682.,Sequelae of other non-traumatic intracranial haemorrhage
G683.,Sequelae of cerebral infarction
G6X..,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
G700.,(Aortic atherosclerosis) or (aorto-iliac disease)
G702.,Extremity artery atheroma
G702z,Extremity artery atheroma NOS
G73..,(Peri vasc dis (& [isch][oth])) or (isch leg) or (peri isch)
G7310,Thromboangiitis obliterans
G731z,Thromboangiitis obliterans NOS
G732.,Peripheral gangrene
G7320,Gangrene of toe
G7321,Gangrene of foot
G73y.,Other specified peripheral vascular disease
G73y0,Diabetic peripheral angiopathy
G73y1,Peripheral angiopathic disease EC NOS
G73yz,Other specified peripheral vascular disease NOS
G73z.,Peripheral vascular disease NOS
G73zz,Peripheral vascular disease NOS
G742z,Peripheral arterial embolism and thrombosis NOS
G76A.,Arterial insufficiency
Gyu14,[X]Other specified rheumatic heart diseases
Gyu2.,[X]Hypertensive diseases
Gyu20,[X]Other secondary hypertension
Gyu21,[X]Hypertension secondary to other renal disorders
Gyu30,[X]Other forms of angina pectoris
Gyu31,[X]Other current complicatns following acute myocard infarct
Gyu32,[X]Other forms of acute ischaemic heart disease
Gyu33,[X]Other forms of chronic ischaemic heart disease
Gyu34,[X]Acute transmural myocardial infarction of unspecif site
Gyu35,[X]Subsequent myocardial infarction of other sites
Gyu36,[X]Subsequent myocardial infarction of unspecified site
Gyu5M,[X]Other hypertrophic cardiomyopathy
Gyu5N,[X]Other restrictive cardiomyopathy
Gyu5P,[X]Other cardiomyopathies
Gyu5Q,[X]Cardiomyopathy in infectious+parasitic diseases CE
Gyu5R,[X]Cardiomyopathy in metabolic diseases classified elsewhere
Gyu5S,[X]Cardiomyopathy in nutritional diseases CE
Gyu5T,[X]Cardiomyopathy in other diseases classified elsewhere
Gyu60,[X]Subarachnoid haemorrhage from other intracranial arteries
Gyu61,[X]Other subarachnoid haemorrhage
Gyu62,[X]Other intracerebral haemorrhage
Gyu63,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs
Gyu64,[X]Other cerebral infarction
Gyu65,[X]Occlusion and stenosis of other precerebral arteries
Gyu66,[X]Occlusion and stenosis of other cerebral arteries
Gyu6C,"[X]Sequelae of stroke,not specfd as h'morrhage or infarction"
Gyu6E,"[X]Subarachnoid haemorrh from intracranial artery, unspecif"
Gyu6F,"[X]Intracerebral haemorrhage in hemisphere, unspecified"
Gyu6G,[X]Cereb infarct due unsp occlus/stenos precerebr arteries
Gyu74,[X]Other specified peripheral vascular diseases
Gyu7A,[X]Peripheral angiopathy in diseases classified elsewhere
H541z,Pulmonary oedema NOS
H584.,Acute pulmonary oedema unspecified
H584z,Acute pulmonary oedema NOS
L09y1,Cardiac arrest following abortive pregnancy
L122.,Other pre-existing hypertension in preg/childbirth/puerp
L1220,Other pre-existing hypertension in preg/childb/puerp unspec
L1221,Other pre-existing hypertension in preg/childb/puerp - deliv
L1222,Oth pre-exist hypert in preg/childb/puerp -del with p/n comp
L1223,Other pre-exist hypertension in preg/childb/puerp-not deliv
L1224,Other pre-exist hypertension in preg/childb/puerp + p/n comp
L122z,Other pre-existing hypertension in preg/childb/puerp NOS
L127.,Pre-eclampsia or eclampsia with pre-existing hypertension
L127z,Pre-eclampsia or eclampsia + pre-existing hypertension NOS
L128.,Pre-exist hypertension compl preg childbirth and puerperium
L1280,Pre-exist hyperten heart dis compl preg childbth+puerperium
L1281,Pre-exist hyperten heart renal dis comp preg chldbirth/puerp
L1282,Pre-exist 2ndry hypertens comp preg childbth and puerprum
L440.,Cerebrovasc disord in puerperium (& [CVA - cerebrovasc acc])
L4400,Puerperal cerebrovascular disorder unspecified
L4401,Puerperal cerebrovascular disorder - delivered
L4402,Puerperal cerebrovascular disorder - delivered with p/n comp
L4403,Puerperal cerebrovascular disorder with antenatal comp
L4404,Puerperal cerebrovascular disorder with postnatal comp
L440z,Puerperal cerebrovascular disorder NOS
M2710,Ischaemic ulcer diabetic foot
M2712,Mixed diabetic ulcer - foot
P50..,Aortopulmonary septal anomaly (& [common trunk] or [defect])
P50z.,Common aortopulmonary trunk NOS
P51..,Discordant ventriculoarterial connection
P510.,Total great vessel transposition
P511.,Double outlet right ventricle
P5110,"Double outlet right ventricle, unspecified"
P5111,Dextratransposition of aorta
P5112,Incomplete great vessel transposition
P5113,Double outlet rt ventricle + subpulm ventriculr septl defect
P511z,Double outlet right ventricle NOS
P512.,Congenitally corrected transposition of great arteries
P51y.,(Oth spec transposit great vessels) or (transposit of aorta)
P51z.,(Great vessel transpos NOS) or (transpos arterial trunk NEC)
P52..,Tetralogy of Fallot
P520.,Tetralog Fallot: [unsp][ventric sept def][dextraposit aorta]
P521.,Pentalogy of Fallot
P52z.,Tetralogy of Fallot NOS
P53..,[Common] and [ventricle]
P54..,Ventricular septal defect
P540.,"Ventricular septal defect, unspecified"
